"Site","stream","position","season","biomass_site_mean","number_site_mean","biomass_Diptera","number_Diptera","biomass_Ephemeroptera","number_Ephemeroptera","biomass_Trichoptera","number_Trichoptera","biomass_Plecoptera","number_Plecoptera","biomass_site_sd","number_site_sd","sd_biomass_Diptera","sd_number_Diptera","sd_biomass_Ephemeroptera","sd_number_Ephemeroptera","sd_biomass_Trichoptera","sd_number_Trichoptera","sd_biomass_Plecoptera","sd_number_Plecoptera","number_EPT","number_fam","number_dip","max_sumTU_ms_pyr","NO3","PO4","water_temp","pools","conductivity","shading","o2_perc"
"Dierbach_forest","Dierbach","forest","autumn",2.92480571428571,13.9928571428571,1.50513928571429,13.4880952380952,0.0338369047619048,0.202380952380952,0.934011904761905,0.0833333333333333,0.451817619047619,0.219047619047619,4.01511393031523,9.244005318732,1.81321637793253,9.22014351532929,0.744468135135953,0.141392713282858,3.83637118429921,0.309320242379446,1.29187309754049,0.511869692412612,3,10,10,-7,2.35,0.5,11.525,20,106.5,80,95.45
"Dierbach_forest","Dierbach","forest","spring",4.99103895833333,17.89375,3.418786875,16.0916666666667,0.29926875,0.1875,0,0,1.27298333333333,1.61458333333333,8.8948564433966,23.0638500323648,8.09023267286491,22.3862332887919,0.447514041348762,0.800802825884962,0,0,2.32452331505241,3.19734362751354,4,10,10,-5.91095130675757,2.15,0.2,10.8,20,134.333333333333,85,92.8666666666667
"Dierbach_forest","Dierbach","forest","summer",2.35771621621622,15.3423423423423,1.61757405405405,15.0108108108108,0.0266342342342342,0.0900900900900901,0.356852252252252,0.0630630630630631,0.356655675675676,0.178378378378378,2.85602067709279,14.1539085223762,2.39168219877821,14.2127617277313,0.310799930174697,0.0960292674928598,1.65255922880989,0.270320315686914,1.11005176346906,0.502844760192301,5,14,11,-7,3.16666666666667,0.566666666666667,13.9,20,120.25,85,95.9
"Dierbach_vine","Dierbach","vine","autumn",0.706391666666667,4.62666666666667,0.558271666666667,4.58666666666667,0,0,0.14812,0.04,0,0,0.99673181755227,3.3807435425635,0.853680480870506,3.43273542741352,0,0,0.662412777654538,0.178885438199983,0,0,1,8,8,-0.576219619366655,1.65,0.525,14.85,40,226.25,50,92.55
"Dierbach_vine","Dierbach","vine","spring",2.19610266666667,28.0088888888889,2.16885933333333,27.9422222222222,0.01428,0.0333333333333333,0,0,0.0129633333333333,0.0333333333333333,1.98132882443106,30.272568837319,1.99136199931986,30.2736522058365,0.182574185835055,0.0782147812117377,0,0,0.071003100871253,0.182574185835055,2,8,8,-3.36552968114965,2.35,0.3,13.2333333333333,30,279.333333333333,50,91.2666666666667
"Dierbach_vine","Dierbach","vine","summer",0.850430925925926,11.0555555555556,0.800752222222222,10.9537037037037,0.0294342592592593,0.0648148148148148,0.0202444444444444,0.037037037037037,0,0,0.995819958963263,9.36113546226403,0.944426402226694,9.27995374159851,0.27394176700671,0.142681385864219,0.121466666666667,0.222222222222222,0,0,2,8,9,-2.86872853461079,1.83333333333333,0.833333333333333,16.55,40,205.5,60,90.7
"Hainbach_forest","Hainbach","forest","autumn",2.22508259259259,9.91851851851852,1.9419937037037,9.86296296296296,0,0,0.283088888888889,0.0555555555555556,0,0,4.98618182583301,16.4979468804721,4.95819447106892,16.5313957154017,0,0,1.20104443807139,0.235702260395516,0,0,1,5,5,-0.558865798935674,0.675,0.525,12.2333333333333,60,120.333333333333,40,97.75
"Hainbach_forest","Hainbach","forest","spring",2.38566261904762,8.05952380952381,1.29657523809524,7.5547619047619,0.947009523809524,0.404761904761905,0,0,0.142077857142857,0.1,4.1180460931704,11.4843008144572,2.19629522117832,10.552132834106,1.13441177033203,2.9204602078132,0,0,0.460198433797109,0.295647437681113,2,5,5,-3.35722093948881,0.9,0.4,10.6,30,124.333333333333,40,97.8666666666667
"Hainbach_forest","Hainbach","forest","summer",0.821694,5.03555555555556,0.177540444444444,4.44222222222222,0.386838888888889,0.4,0.257314666666667,0.193333333333333,0,0,2.07079978656431,4.30694826072498,0.32093408436958,4.30273844311201,0.789781481975888,1.15386049091595,0.999824203567577,0.54198443375874,0,0,4,7,6,-3.43109626370988,1.13333333333333,0.733333333333333,14.3,20,120.5,30,100.033333333333
"Hainbach_vine","Hainbach","vine","autumn",3.80850333333333,21.5481481481481,2.48744888888889,21.0037037037037,0.394026666666667,0.377777777777778,0.927027777777778,0.166666666666667,0,0,6.62642387845299,22.2686104065973,3.19357113807082,21.9335952332206,0.802935789682426,0.810140483155273,3.87417663537999,0.514495755427527,0,0,3,8,6,-0.518552785731867,1.1,0.75,16.025,20,192,95,84.8333333333333
