"ID","stream","position","time","genus","species","dry_mass_mg_new","season","GC_ID","Internal_Standard_Volume_ID","date_extraction","MeOH_Volume_dissolved","date.derivatisation","TMSH_Volume","Sample_Volume_derivatized","comment.x","runinfo","experiment","area","name_pufa","runname","runinfo_original","comment.y","Time","Timestamp","Date","Time_of_day"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",269778,"12:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",116557,"13:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",367375,"14:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",3380198,"14:1n-5","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",8171,"15:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",12027894,"15:1n-5","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",48450,"16:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",39208,"16:1n-7","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",2163,"17:0","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
"T576","Hainbach","down","2018-09-13","T.","montana",0.6759,"autumn","T576","50_SI4","02/02/2020",50,"04/02/2020",10,20,NA,"T576","field_spiders",6327192,"17:1n-7","PUFA-KF_05.02.2020 15_24_2418","T576","             ","05.02.2020 15_24_2418","2020-02-05 15:24:24","2020-02-05"," 15:24:24"
